Population_Scenario,Year,WWTP_Scenario,P(RQ_SW_API1=0-1),P(RQ_SW_API2=0-1),P(RQ_SW_API3=0-1),P(RQ_SW_API4=0-1),P(RQ_SW_API1=1-10),P(RQ_SW_API2=1-10),P(RQ_SW_API3=1-10),P(RQ_SW_API4=1-10),P(RQ_SW_API1=10-100),P(RQ_SW_API2=10-100),P(RQ_SW_API3=10-100),P(RQ_SW_API4=10-100),P(RQ_SW_API1=100-1000),P(RQ_SW_API2=100-1000),P(RQ_SW_API3=100-1000),P(RQ_SW_API4=100-1000),P(RQ_SW_API1=1000-10000),P(RQ_SW_API2=1000-10000),P(RQ_SW_API3=1000-10000),P(RQ_SW_API4=1000-10000),P(RQ_SW_API1=10000-inf),P(RQ_SW_API2=10000-inf),P(RQ_SW_API3=10000-inf),P(RQ_SW_API4=10000-inf),RQ_Threshhold,P(Sum_RQ=0-1),P(Sum_RQ=1-10),P(Sum_RQ=10-100),P(Sum_RQ=100-1000),P(Sum_RQ=1000-10000),P(Sum_RQ=10000-100000),P(Sum_RQ=100000-inf),P(Threshold_Exceedence=true)
Main,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,100,,,,,,,,
Main,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,1000,,,,,,,,
Main,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,10000,,,,,,,,
Main,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,10,,,,,,,,
Main,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,100,,,,,,,,
Main,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,1000,,,,,,,,
Main,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,10000,,,,,,,,
Main,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,10,,,,,,,,
Main,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,100,,,,,,,,
Main,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,1000,,,,,,,,
