API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2060,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2060,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2060,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2070,0 - 0.001,4.5,40960,800,0.4209,0.41973,0.04199,90070.40512,0,0,0,0,0,0,0.01586,0.18736,0.79678
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2070,0.001 - 0.9,4.5,40960,800,0.4209,0.35475,0.0355,85117.06022,0,0,0,0,0,0,0.02377,0.28082,0.69541
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2070,0.9 - 0.95,4.5,40960,800,0.4209,0.04998,0.00505,61298.51461,0,0,0,0,0,0.00793,0.06267,0.71091,0.2185
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2070,0.95 - 0.99,4.5,40960,800,0.4209,0.04612,0.00466,56652.16273,0,0,0,0,0,0.0666,0.0765,0.65545,0.20145
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2080,0 - 0.001,6.5,40960,1185,0.27904,0.27658,0.02769,79158.81595,0,0,0,0,0,0,0.03328,0.39325,0.57347
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2080,0.001 - 0.9,6.5,40960,1185,0.27904,0.23679,0.02371,76125.91074,0,0,0,0,0,0,0.03812,0.45047,0.5114
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2080,0.9 - 0.95,6.5,40960,1185,0.27904,0.04941,0.00499,60608.53405,0,0,0,0,0,0.01664,0.06472,0.70267,0.21597
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2080,0.95 - 0.99,6.5,40960,1185,0.27904,0.04131,0.00418,50856.32605,0,0,0,0,0,0.13978,0.09376,0.58627,0.18019
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2090,0 - 0.001,4.5,40960,800,0.4209,0.41973,0.04199,90070.40512,0,0,0,0,0,0,0.01586,0.18736,0.79678
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2090,0.001 - 0.9,4.5,40960,800,0.4209,0.35475,0.0355,85117.06022,0,0,0,0,0,0,0.02377,0.28082,0.69541
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2090,0.9 - 0.95,4.5,40960,800,0.4209,0.04998,0.00505,61298.51461,0,0,0,0,0,0.00793,0.06267,0.71091,0.2185
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2090,0.95 - 0.99,4.5,40960,800,0.4209,0.04612,0.00466,56652.16273,0,0,0,0,0,0.0666,0.0765,0.65545,0.20145
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2100,0 - 0.001,4.5,40960,800,0.4209,0.41973,0.04199,90070.40512,0,0,0,0,0,0,0.01586,0.18736,0.79678
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2100,0.001 - 0.9,4.5,40960,800,0.4209,0.35475,0.0355,85117.06022,0,0,0,0,0,0,0.02377,0.28082,0.69541
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2100,0.9 - 0.95,4.5,40960,800,0.4209,0.04998,0.00505,61298.51461,0,0,0,0,0,0.00793,0.06267,0.71091,0.2185
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Low,2100,0.95 - 0.99,4.5,40960,800,0.4209,0.04612,0.00466,56652.16273,0,0,0,0,0,0.0666,0.0765,0.65545,0.20145
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2020,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2020,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2020,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2020,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2030,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2030,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2030,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2030,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2040,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2040,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2040,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2040,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2050,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2050,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2050,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2050,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
