Population_Scenario,Year,WWTP_Scenario,P(RQ_SW_API1=0-1),P(RQ_SW_API2=0-1),P(RQ_SW_API3=0-1),P(RQ_SW_API4=0-1),P(RQ_SW_API1=1-10),P(RQ_SW_API2=1-10),P(RQ_SW_API3=1-10),P(RQ_SW_API4=1-10),P(RQ_SW_API1=10-100),P(RQ_SW_API2=10-100),P(RQ_SW_API3=10-100),P(RQ_SW_API4=10-100),P(RQ_SW_API1=100-1000),P(RQ_SW_API2=100-1000),P(RQ_SW_API3=100-1000),P(RQ_SW_API4=100-1000),P(RQ_SW_API1=1000-10000),P(RQ_SW_API2=1000-10000),P(RQ_SW_API3=1000-10000),P(RQ_SW_API4=1000-10000),P(RQ_SW_API1=10000-inf),P(RQ_SW_API2=10000-inf),P(RQ_SW_API3=10000-inf),P(RQ_SW_API4=10000-inf),RQ_Threshhold,P(Sum_RQ=0-1),P(Sum_RQ=1-10),P(Sum_RQ=10-100),P(Sum_RQ=100-1000),P(Sum_RQ=1000-10000),P(Sum_RQ=10000-100000),P(Sum_RQ=100000-inf),P(Threshold_Exceedence=true)
Low,2020,None,0.16667,0,0,0.16667,0.16667,0.08755,0.07661,0.16667,0.16667,0.4185,0.40038,0.16667,0.16667,0.49395,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,None,0.16667,0,0,0.16667,0.16667,0.08755,0.07661,0.16667,0.16667,0.4185,0.40038,0.16667,0.16667,0.49395,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,None,0.16667,0,0,0.16667,0.16667,0.08755,0.07661,0.16667,0.16667,0.4185,0.40038,0.16667,0.16667,0.49395,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,High,0.16667,0.22147,0.02451,0.16667,0.16667,0.44264,0.18022,0.16667,0.16667,0.33589,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,High,0.16667,0.22147,0.02451,0.16667,0.16667,0.44264,0.18022,0.16667,0.16667,0.33589,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,High,0.16667,0.22147,0.02451,0.16667,0.16667,0.44264,0.18022,0.16667,0.16667,0.33589,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,High,0.16667,0.22147,0.02451,0.16667,0.16667,0.44264,0.18022,0.16667,0.16667,0.33589,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,High,0.16667,0.22147,0.02451,0.16667,0.16667,0.44264,0.18022,0.16667,0.16667,0.33589,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Low,0.16667,0.10429,0.00306,0.16667,0.16667,0.42151,0.08956,0.16667,0.16667,0.47419,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Low,0.16667,0.10429,0.00306,0.16667,0.16667,0.42151,0.08956,0.16667,0.16667,0.47419,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Low,0.16667,0.10429,0.00306,0.16667,0.16667,0.42151,0.08956,0.16667,0.16667,0.47419,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Low,0.16667,0.10429,0.00306,0.16667,0.16667,0.42151,0.08956,0.16667,0.16667,0.47419,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Low,0.16667,0.10429,0.00306,0.16667,0.16667,0.42151,0.08956,0.16667,0.16667,0.47419,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Medium,0.16667,0.13777,0.00919,0.16667,0.16667,0.42755,0.11546,0.16667,0.16667,0.43468,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Medium,0.16667,0.13777,0.00919,0.16667,0.16667,0.42755,0.11546,0.16667,0.16667,0.43468,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Medium,0.16667,0.13777,0.00919,0.16667,0.16667,0.42755,0.11546,0.16667,0.16667,0.43468,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Medium,0.16667,0.13777,0.00919,0.16667,0.16667,0.42755,0.11546,0.16667,0.16667,0.43468,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,Medium,0.16667,0.13777,0.00919,0.16667,0.16667,0.42755,0.11546,0.16667,0.16667,0.43468,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,None,0.16667,0.08755,0,0.16667,0.16667,0.4185,0.07661,0.16667,0.16667,0.49395,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,None,0.16667,0.08755,0,0.16667,0.16667,0.4185,0.07661,0.16667,0.16667,0.49395,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,None,0.16667,0.08755,0,0.16667,0.16667,0.4185,0.07661,0.16667,0.16667,0.49395,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,None,0.16667,0.08755,0,0.16667,0.16667,0.4185,0.07661,0.16667,0.16667,0.49395,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2030,None,0.16667,0.08755,0,0.16667,0.16667,0.4185,0.07661,0.16667,0.16667,0.49395,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,High,0.16667,0.97313,0.02451,0.16667,0.16667,0.02687,0.18022,0.16667,0.16667,0,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,High,0.16667,0.97313,0.02451,0.16667,0.16667,0.02687,0.18022,0.16667,0.16667,0,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,High,0.16667,0.97313,0.02451,0.16667,0.16667,0.02687,0.18022,0.16667,0.16667,0,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,High,0.16667,0.97313,0.02451,0.16667,0.16667,0.02687,0.18022,0.16667,0.16667,0,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,High,0.16667,0.97313,0.02451,0.16667,0.16667,0.02687,0.18022,0.16667,0.16667,0,0.43962,0.16667,0.16667,0,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Low,0.16667,0.96206,0.00306,0.16667,0.16667,0.03794,0.08956,0.16667,0.16667,0,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Low,0.16667,0.96206,0.00306,0.16667,0.16667,0.03794,0.08956,0.16667,0.16667,0,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Low,0.16667,0.96206,0.00306,0.16667,0.16667,0.03794,0.08956,0.16667,0.16667,0,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Low,0.16667,0.96206,0.00306,0.16667,0.16667,0.03794,0.08956,0.16667,0.16667,0,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Low,0.16667,0.96206,0.00306,0.16667,0.16667,0.03794,0.08956,0.16667,0.16667,0,0.40529,0.16667,0.16667,0,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Medium,0.16667,0.96523,0.00919,0.16667,0.16667,0.03477,0.11546,0.16667,0.16667,0,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Medium,0.16667,0.96523,0.00919,0.16667,0.16667,0.03477,0.11546,0.16667,0.16667,0,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Medium,0.16667,0.96523,0.00919,0.16667,0.16667,0.03477,0.11546,0.16667,0.16667,0,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Medium,0.16667,0.96523,0.00919,0.16667,0.16667,0.03477,0.11546,0.16667,0.16667,0,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,Medium,0.16667,0.96523,0.00919,0.16667,0.16667,0.03477,0.11546,0.16667,0.16667,0,0.4151,0.16667,0.16667,0,0.46025,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2040,None,0.16667,0.96048,0,0.16667,0.16667,0.03952,0.07661,0.16667,0.16667,0,0.40038,0.16667,0.16667,0,0.52301,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
