Municipality,Pop_Connected_WWTP_>50PE,Pop_Connected_WWTP_>50PE_Chem_Treat,Pop_Connected_WWTP_>50PE_BioChem_Treat,Pop_Connected_WWTP_>50PE_BioChemMechNat_Treat,Pop_Connected_WWTP_>50PE_No_Treat
4651 Stryn,3914,NA,54,3860,NA
1505 Kristiansund,25144,NA,NA,25144,NA
1506 Molde,27002,NA,NA,26983,19
1507 Ålesund,63548,14190,153,48919,286
1511 Vanylven,1238,NA,NA,1238,NA
1514 Sande,1497,NA,NA,NA,1497
1515 Herøy (Møre og Romsdal),4578,NA,NA,4578,NA
1516 Ulstein,7096,NA,NA,7096,NA
1517 Hareid,2707,NA,NA,NA,2707
1520 Ørsta,7873,NA,NA,7843,30
1525 Stranda,4177,NA,NA,2712,1465
1528 Sykkylven,4567,NA,NA,2920,1647
1531 Sula,6813,NA,NA,6813,NA
1532 Giske,6238,NA,NA,1545,4693
1535 Vestnes,4755,NA,NA,4405,350
1539 Rauma,6594,NA,NA,6312,282
1547 Aukra,3481,NA,NA,3481,NA
1554 Averøy,3405,NA,NA,2504,901
1557 Gjemnes,1666,NA,NA,1521,145
1560 Tingvoll,1760,NA,NA,1760,NA
1563 Sunndal,5841,NA,NA,5841,NA
1566 Surnadal,3505,NA,NA,3505,NA
1573 Smøla,50,NA,NA,50,NA
1576 Aure,1480,NA,NA,1480,NA
1577 Volda,9972,NA,700,8328,944
1578 Fjord,1101,NA,NA,226,875
1579 Hustadvika,9673,NA,18,9015,640
5001 Trondheim,206014,70175,NA,135839,NA
5006 Steinkjer,21086,17700,792,2594,NA
5007 Namsos,11647,578,120,10949,NA
5014 Frøya,3741,80,NA,3661,NA
5020 Osen,256,NA,NA,256,NA
5021 Oppdal,5495,5150,45,300,NA
5022 Rennebu,1540,1260,NA,280,NA
5025 Røros,4120,NA,4120,NA,NA
5026 Holtålen,925,NA,925,NA,NA
5027 Midtre Gauldal,3950,NA,3950,NA,NA
5028 Melhus,3863,1215,2126,522,NA
5029 Skaun,4902,NA,428,4474,NA
5031 Malvik,9613,NA,NA,9519,94
5032 Selbu,2658,NA,400,2258,NA
5033 Tydal,620,90,NA,530,NA
5034 Meråker,1830,1830,NA,NA,NA
5035 Stjørdal,20631,17355,3240,36,NA
5036 Frosta,2951,NA,NA,2951,NA
5037 Levanger,16092,11843,NA,4249,NA
5038 Verdal,11590,10000,1090,500,NA
5041 Snåase - Snåsa,1165,NA,980,185,NA
5042 Lierne,540,NA,500,40,NA
5043 Raarvihke - Røyrvik,240,NA,NA,240,NA
5044 Namsskogan,325,NA,NA,325,NA
5045 Grong,2133,1401,NA,732,NA
5046 Høylandet,674,NA,674,NA,NA
5047 Overhalla,3362,NA,1812,1550,NA
5049 Flatanger,535,NA,NA,535,NA
5052 Leka,300,NA,NA,300,NA
5053 Inderøy,3403,NA,NA,3403,NA
5054 Indre Fosen,3379,NA,NA,3379,NA
5055 Heim,3892,NA,NA,3719,173
5056 Hitra,1822,NA,NA,1822,NA
5057 Ørland,6020,NA,NA,4840,1180
5058 Åfjord,2182,NA,NA,2089,93
5059 Orkland,13047,NA,0,13047,NA
5060 Nærøysund,5383,NA,NA,5383,NA
5061 Rindal,1070,NA,1070,NA,NA
1804 Bodø,46157,NA,NA,45123,1034
1806 Narvik,22535,NA,NA,21733,802
1811 Bindal,1160,NA,NA,20,1140
1812 Sømna,622,NA,NA,150,472
1813 Brønnøy,5522,NA,NA,5522,NA
1815 Vega,779,NA,NA,109,670
1816 Vevelstad,236,NA,NA,236,NA
1818 Herøy (Nordland),335,NA,NA,NA,335
1820 Alstahaug,6340,NA,NA,5763,577
1822 Leirfjord,787,NA,NA,787,NA
1824 Vefsn,14515,NA,475,14040,NA
1825 Grane,1000,1000,NA,NA,NA
1826 Hattfjelldal,800,NA,NA,800,NA
1827 Dønna,1015,NA,NA,935,80
1828 Nesna,1480,NA,NA,NA,1480
1832 Hemnes,3020,NA,398,2622,NA
1833 Rana,22376,596,NA,21780,NA
1834 Lurøy,1322,NA,NA,1322,NA
1837 Meløy,5370,NA,NA,4643,727
1838 Gildeskål,690,NA,NA,200,490
1839 Beiarn,437,82,145,210,NA
1840 Saltdal,2798,NA,NA,2798,NA
1841 Fauske - Fuossko,7900,NA,NA,7900,NA
1845 Sørfold,1440,NA,NA,1330,110
1848 Steigen,530,NA,NA,530,NA
